California authorities on high alert after Texas school shooting kills 21, 3 months ago, Police authorities in some other Southern California counties also vowed to protect the safety of their cities after the latest mass school, https://www.business-standard.com/article/international/california-authorities-on-high-alert-after-texas-school-shooting-kills-21-122052600472_1.html 
Officers could have stopped Uvalde school shooter three minutes after he entered school Texas public safety chief testifies, 2 months ago, That's what it did" he said of the police response in Uvalde, https://www.cbsnews.com/news/uvalde-texas-school-shooting-officers-stop-gunman/ 
'Loving' boy last Texas school shooting victim laid to rest, 2 months ago, 'Loving' boy last Texas school shooting victim laid to rest , https://apnews.com/article/shootings-texas-education-school-sergio-8d9890322fb849bd1ba3799c344d4ed6 
Onlookers urged police to charge into Texas school, 3 months ago, People walk with flowers to honor the victims in Tuesday's shooting at Robb Elementary School in Uvalde Texas Wednesday May 25 2022, https://www.npr.org/2022/05/26/1101418947/onlookers-urged-police-to-charge-into-texas-school 
What the shooting in Uvalde has meant for the Latino community, 3 months ago, A memorial dedicated to the victims of the mass shooting at Robb Elementary School in Uvalde Texas, https://www.npr.org/2022/06/04/1103021632/what-the-shooting-in-uvalde-has-meant-for-the-latino-community 
Texas DPS officers face an investigation into Uvalde shooting ..., 22 hours ago, , https://www.texastribune.org/2022/09/06/uvalde-school-shooting-dps-investigation/ 
After Uvalde Texas State Police Revise Training for Mass Shootings, 21 hours ago, HOUSTON — In the wake of a massacre at an elementary school in the city of Uvalde the Texas Department of Public Safety has quietly adopted, https://www.nytimes.com/2022/09/06/us/texas-mass-shootings.html 
Uvalde school district welcomes back students after Texas school ..., 1 day ago, Driving the news: Parents brought their children to schools in the , https://www.axios.com/2022/09/06/uvalde-school-district-shooting-return-to-school 
Texas community still grapples with fallout from 2018 school ..., 4 weeks ago, Santa Fe officials and mental health groups applied for grants through the federal Victims of Crime Act Fund which draws money from criminal, https://www.npr.org/sections/health-shots/2022/08/12/1116715147/texas-school-shooting-santa-fe-high-school 
5 Texas officers on-site at Uvalde school referred to inspector general; 2 so far suspended with pay: DPS, 19 hours ago, Under one once an "active shooter" is declared at a school the situation cannot be treated as anything else by Texas DPS personnel, https://abcnews.go.com/US/texas-dps-officers-site-uvalde-school-referred-inspector/story%3Fid%3D89418500 
Uvalde shooting victims’ families criticize Gov. Greg Abbott on gun ..., 1 week ago, There they shared sacred details of loved ones who were among the 21 people gunned down on May 24 in Texas' deadliest school shooting, https://www.texastribune.org/2022/08/27/uvalde-shooting-capitol-gun-control-rally/ 
Money donated after Uvalde shooting is slow to reach victims families, 3 weeks ago, And the trauma of Texas' most deadly school shooting touches the victims' families and friends the survivors and the students teachers and, https://www.texastribune.org/2022/08/16/texas-uvalde-shooting-relief-money-victims/ 
Uvalde school officials Texas law enforcement could be sued over ..., 2 weeks ago, A lawyer for shooting victims is seeking compensation for victims and families citing the Texas House committee's investigative report that, https://www.texastribune.org/2022/08/23/uvalde-shooting-27-billion-lawsuit/ 
Uvalde students go back to school for 1st time since attack, 1 day ago, A large memorial of stuffed animals victims' photographs and , https://apnews.com/article/shootings-texas-education-3e0fc3ec61c1135f8bdae5a18f786ef7 
Uvalde school officials to discuss firing Pete Arredondo on Aug. 24, 3 weeks ago, Uvalde school officials could fire Pete Arredondo the school district's , https://www.texastribune.org/2022/08/16/uvalde-police-chief-arredondo/ 
Uvalde children grapple with trauma after school massacre, 4 days ago, UVALDE Texas (AP) — One girl runs and hides when she sees thin people with long hair , https://apnews.com/article/health-shootings-texas-education-united-states-0084ca76b5623bce8ec85349cad9cc84 
Uvalde parents make hard choices for the coming school year, 3 weeks ago, After the Robb Elementary shooting some Uvalde parents are choosing , https://www.texastribune.org/2022/08/15/uvalde-parents-back-to-school/ 
Texas judge blocks release of Uvalde elementary school shooting records regarding state police response, 4 weeks ago, NEWYou can now listen to Fox News articles! A Texas judge on Wednesday blocked the release of records regarding the state police response to the, https://www.foxnews.com/us/texas-judge-blocks-release-uvalde-elementary-school-shooting-records-regarding-state-police-response 
Raised with trauma Sandy Hook survivors send hope to Uvalde, 8 hours ago, Eaton-Robb reported from Hartford Connecticut, https://abcnews.go.com/Health/wireStory/raised-trauma-sandy-hook-survivors-send-hope-uvalde-89448494 
Uvalde residents confront school board over response to shooting, 1 month ago, "It's going to take all of us to fix it, https://abcnews.go.com/US/uvalde-residents-confront-school-board-response-shooting/story%3Fid%3D88145074 
Large murals honor the 21 victims in the Uvalde Texas shootings., 2 weeks ago, She's one of the fourth-graders killed at Robb Elementary School, https://www.npr.org/2022/08/20/1118439845/texas-artists-honor-the-uvalde-victims-with-21-murals-they-hope-will-help-healin 
Greg Abbott Beto O’Rourke fight over guns abortion in 2022 Texas ..., 1 day ago, Not so fast: Greg Abbott Texas Republicans face a complex election , https://www.texastribune.org/2022/09/06/texas-2022-election-greg-abbott-beto-orourke/ 
Austin woman’s painting raises $22000 for Uvalde playground equipment, 1 hour ago, Just days after the mass shooting at Uvalde's Robb Elementary School , https://www.kxan.com/news/local/austin/austin-womans-painting-raises-20000-for-uvalde-playground-equipment/ 
Parking lot incident leads to shooting at BISD school, 3 weeks ago, BROWNSVILLE Texas (ValleyCentral) — The Brownsville Independent School District said at around 9 a, https://www.valleycentral.com/news/local-news/bisd-shots-fired-at-porter-hs-arrests-made/ 
2 suspects including a teen arrested in a deadly drive-by, 8 hours ago, FORT WORTH Texas (AP) — Two suspects including a teen have been arrested in connection with a drive-by shooting in Fort Worth last week, https://spectrumlocalnews.com/tx/austin/news/2022/09/07/2-suspects--including-a-teen--arrested-in-a-deadly-drive-by 
Texas school shooting victims, 3 months ago, Veronica Luevanos whose 10-year-old daughter Jailah Nicole Silguero was among the victims tearfully told Univision that her daughter did, https://apnews.com/article/victims-uvalde-texas-school-shooting-958714229cac5f6711270301569ccf7a 
‘That smile I will never forget’: the victims of the Texas school shooting, 3 months ago, 'That smile I will never forget': the victims of the Texas school shooting · Uziyah Garcia eight · Xavier Lopez 10 · Amerie Jo Garza 10 · Jose, https://www.theguardian.com/us-news/2022/may/25/uvalde-texas-school-shooting-victims 
All of the Uvalde school shooting victims were in the same 4th grade ..., 3 months ago, The 19 students and two teachers killed in the Uvalde Texas shooting were all in the same fourth grade classroom Lt, https://www.npr.org/2022/05/25/1101175912/uvalde-texas-shooting-victims-4th-grade-classroom 
What we know about Uvalde Texas school shooting 2 days later, 3 months ago, The gunman then began to shoot at the school from the parking lot before he gained , https://www.npr.org/2022/05/26/1101417320/uvalde-texas-school-shooting-beto-o-rourke-greg-abbott 
The victims of the Texas school shooting in Uvalde, 3 months ago, Hearts 'shattered': Here are the victims of the Texas school shooting · Alexandria Aniyah Rubio 10 · Alithia Ramirez 10 · Amerie Jo Garza 10, https://www.latimes.com/california/story/2022-05-25/victims-of-uvalde-texas-school-shooting 
Texas school shooting: Onlookers urged police to charge into school, 3 months ago, The Uvalde tragedy was the latest in a seemingly unending wave of mass shootings across the U, https://www.oregonlive.com/news/2022/05/texas-school-shooting-onlookers-urged-police-to-charge-into-school.html 
These are the victims of the Uvalde school shooting in Texas, 3 months ago, What we know about the victims of the school shooting in Texas · Eva Mireles 44 · Xavier Lopez 10 · Jose Flores 10 · Irma Garcia 48 · Nevaeh, https://www.washingtonpost.com/nation/2022/05/25/uvalde-texas-school-shooting-victims/ 
“Systemic failures” in Uvalde shooting went far beyond local police ..., 1 month ago, No one was able to stop the gunman from carrying out the deadliest school shooting in Texas history in part because of “systemic failures, https://www.texastribune.org/2022/07/17/law-enforcement-failure-uvalde-shooting-investigation/ 
'I don't want it to happen again': Texas school shooting survivor ..., 2 months ago, Zeneta Everhart mother to one of Buffalo's injured victims also addressed lawmakers, https://www.politico.com/news/2022/06/08/uvalde-texas-school-shooting-survivor-pleads-with-congress-00038112 
Delay in breaching classroom during Texas school shooting was "wrong decision" official says, 3 months ago, In an email obtained by CBS News U, https://www.cbsnews.com/live-updates/texas-school-shooting-police-press-conference-watch-live-stream-today-2022-05-27/ 
May 25 Texas shooting news, 3 months ago, Nineteen children and two teachers were killed in a shooting at Robb Elementary School in Uvalde Texas on Tuesday the Texas Department, https://www.cnn.com/us/live-news/texas-elementary-school-shooting-05-25-22/index.html 
Families in Texas Grieve Loss of 19 Children in Shooting, 2 months ago, Follow today's latest news on the Uvalde Texas elementary school shooting, https://www.nytimes.com/live/2022/05/25/us/shooting-robb-elementary-uvalde 
These Are the Victims of the Uvalde Texas School Shooting, 3 months ago, These Are the Victims of the Uvalde Texas School Shooting · Jacklyn Cazares 10 · Eliahna Garcia 9 · Irma Garcia 48 · Uziyah Garcia 8 · Amerie, https://time.com/6181501/texas-school-shooting-victims-uvalde/ 
Shooting at Texas elementary school leaves 19 children dead ..., 3 months ago, The latest tragedy once again horrified the country and sparked outrage particularly from gun safety advocates who said the nation could no, https://www.politico.com/news/2022/05/24/uvalde-texas-school-shooting-00034864 
Nineteen students and two adults killed in Texas elementary school shooting, 3 months ago, , https://www.theguardian.com/us-news/2022/may/24/texas-school-shooting-uvalde-robb-elementary 
19 children and 2 adults were killed at an elementary school in Texas, 3 months ago, Kladys Castellón prays during a vigil for the victims of a mass shooting at Robb Elementary School in Uvalde Texas on Tuesday May 24, https://www.npr.org/2022/05/24/1101037902/texas-elementary-school-shooting-uvalde 
The Uvalde school shooting victims: What we know, 3 months ago, 21 lives lost: Uvalde victims were a cross-section of a small mostly Latino town in South Texas · The 21 victims of the Uvalde school shooting, https://www.texastribune.org/2022/05/25/uvalde-school-shooting-victims/ 
Uvalde school shooting ends with 19 children 2 adults dead, 3 months ago, One of the two adult victims was identified as a schoolteacher Eva Mireles by her aunt and by a parent of a student on social media, https://www.texastribune.org/2022/05/24/uvalde-texas-school-shooting/ 
What we know about the victims at Robb Elementary School, 1 month ago, They were among the 19 children and two teachers who were killed on May 24 2022 after a gunman walked into Robb Elementary school in Uvalde, https://www.cnn.com/2022/05/25/us/victims-uvalde-texas-school-shooting/index.html 
Texas school shooting timeline: Law enforcement official gives detailed description of deadly attack on Robb Elementary School police response, 3 months ago, In another four-person chat the gunman said "Just bought something rn" McCraw said, https://www.cbsnews.com/news/texas-school-shooting-timeline-robb-elementary-school-attack/ 
Texas school shooting: Uvalde school police chief defends mass shooting response, 2 months ago, Amid widespread criticism a Texas school district police chief has defended the actions of officers responding to the Uvalde mass shooting, https://www.bbc.com/news/world-us-canada-61685119 
Texas school police chief says he didn’t think he was in charge during shooting, 2 months ago, Pete Arredondo says he intentionally left behind radios before entering school as two more funerals are held for victims of the attack, https://www.theguardian.com/us-news/2022/jun/10/texas-school-shooting-police-chief-pete-arredondo 
Chief Pete Arredondo defends police response to Uvalde school ..., 2 months ago, Texas Department of Public Safety officials and news outlets have reported that the shooter fired his gun at least two more times as police, https://www.texastribune.org/2022/06/09/uvalde-chief-pete-arredondo-interview/ 
Texas school shooting: heavily armed police with ballistic shields were there ‘within 19 minutes’, 2 months ago, Multiple police officers armed with rifles and at least one ballistic shield were at the site of the Robb elementary school mass shooting in, https://www.theguardian.com/us-news/2022/jun/21/texas-school-shooting-uvalde-heavily-armed-police-at-robb-elementary-school-within-19-minutes 
Police chief who led Texas school shooting response suspended, 2 months ago, Gun violence victims and their loved ones testify before US congressional committee in emotional push for gun control, https://www.aljazeera.com/news/2022/6/23/police-chief-who-led-texas-school-shooting-response-suspended 
Police could have stopped Uvalde shooting in 3 minutes a Texas ..., 2 months ago, A top Texas law enforcement official said that there were enough armed , https://www.npr.org/2022/06/21/1106372103/uvalde-shooting-timeline-3-minutes-pete-arredondo 
Uvalde school shooting: A timeline of the massacre and police ..., 3 months ago, What we know minute by minute about how the Uvalde shooting and , https://www.texastribune.org/2022/05/27/uvalde-texas-school-shooting-timeline/ 
TIMELINE: Texas elementary school shooting minute by minute, 3 months ago, In the hours and days following the fatal shooting of 19 children and their two teachers at Robb Elementary School in Uvalde Texas, https://apnews.com/article/texas-school-shooting-timeline-6069b0cf01e5f732ef55f9fd0b7109d7 
Timeline of how Texas school shooting unfolded, 3 months ago, The mass shooting at Robb elementary school in the small city of Uvalde south Texas began on Tuesday 24 May with a single shot, https://www.theguardian.com/us-news/2022/may/30/texas-uvalde-mass-shooting-timeline 
Texas school shooting: 19 children 2 adults killed before gunman shot, 3 months ago, UVALDE Texas - A shooting at an elementary school in Uvalde Texas left 19 children and two adults dead on Tuesday, https://www.fox32chicago.com/news/uvalde-texas-elementary-school-shooting 
Video of Uvalde shooting shows police’s delay in confronting gunman, 1 month ago, Leaked video shows Texas law enforcement's long wait to confront Uvalde school shooter, https://www.texastribune.org/2022/07/12/texas-house-investigators-uvalde-shooting-video/ 
Texas officials agree to release hallway video from Uvalde school shooting, 1 month ago, Texas officials have agreed to make public video footage from inside Uvalde's Robb elementary school during the deadly mass shooting there, https://www.theguardian.com/us-news/2022/jul/11/uvalde-school-shooting-texas-video-footage 
Surveillance video of Uvalde school shooting shows police response, 1 month ago, Exclusive: Watch Uvalde school shooting video obtained by , https://www.statesman.com/story/news/2022/07/12/uvalde-school-shooting-video-of-robb-elementary-shows-police-response/65370384007/ 
Texas school shooting: what we know so far, 3 months ago, Names of student victims began to emerge, https://www.theguardian.com/us-news/2022/may/24/texas-school-shooting-uvelde-what-we-know 
Here is what we know so far about the victims of the Texas school massacre, 3 months ago, Here is what we know so far about the victims of the Texas school massacre ; Eva Mireles, https://www.nbcnews.com/news/us-news/texas-school-shooting-fourth-grade-teacher-killed-uvalde-elementary-rcna30426 
May 24 2022 -- Deadly shooting at Texas elementary school, 3 months ago, At least 19 children and two adults were killed in a shooting at Robb Elementary School in Uvalde Texas Tuesday afternoon according to the, https://www.cnn.com/us/live-news/texas-elementary-school-shooting-05-24-22/index.html 
Texas School Shooting Victims: Third and Fourth Graders Beloved Teachers, 3 months ago, Texas School Shooting Victims: Third and Fourth Graders Beloved Teachers ; ALITHIA RAMIREZ 4TH GRADER, https://www.nbcdfw.com/news/local/texas-news/uvalde-texas-school-shooting-names-of-victims-begin-to-release/2976993/ 
Texas shooting: Uvalde report finds 'systemic failures' by authorities, 1 month ago, A report into the Uvalde school shooting in Texas that killed 21 people has found "systemic failures and egregiously poor decision-making", https://www.bbc.com/news/world-us-canada-62200507 
News brief: Texas school shooting vigil for victims preventing the ..., 3 months ago, Have you seen the photos of children elementary school kids who went to school Tuesday morning in Uvalde Texas? LEILA FADEL HOST: They were, https://www.npr.org/2022/05/26/1101423544/morning-news-brief 
The Uvalde shooting conspiracies show how far-right misinformation ..., 3 months ago, Even before details were known about the shooter who killed 19 children and two school faculty at Robb Elementary School in Uvalde Texas, https://www.npr.org/2022/05/26/1101479269/texas-uvalde-school-shooting-misinformation-conspiracy-far-right 
What we know about the victims of the Uvalde school shooting, 3 months ago, Two teachers and 19 students were killed at the elementary school in Uvalde Texas making it the second-deadliest school shooting in U, https://www.npr.org/2022/05/27/1101286508/what-we-know-about-the-victims-of-the-uvalde-school-shooting 
Shooting at Elementary School Devastates Community in South Texas, 2 months ago, UVALDE Texas — A gunman killed at least 19 children and two adults on Tuesday in a rural Texas elementary school a state police official said, https://www.nytimes.com/live/2022/05/24/us/shooting-robb-elementary-uvalde 
Justice Dept. to review response to Texas school shooting, 3 months ago, UVALDE Texas (AP) — The Justice Department said Sunday it will review the law enforcement response to the Texas school shooting, https://apnews.com/article/texas-school-shooting-justice-department-reviewing-response-ed6ea4160d723c2a25cde1c909d31fa7 
Gunman emerged from classroom closet firing at Border Patrol ..., 3 months ago, In a prerecorded message to the NRA convention Texas Gov, https://www.washingtonpost.com/nation/2022/05/27/texas-school-shooting-uvalde-victims-live-updates/ 
‘Forgive me forgive my son’: parents of Texas school shooter respond, 3 months ago, He was ultimately shot dead by a federal agent in a classroom in which he had barricaded himself with his victims, https://www.theguardian.com/us-news/2022/may/27/texas-school-shooter-parents 
Here's what we learned about the Uvalde school shooting on Friday, 3 months ago, A look at the 19 children and two teachers who were killed in the Uvalde Texas shooting · Eva Mireles teacher · Irma Garcia teacher · Neveah, https://www.statesman.com/story/news/2022/05/27/live-updates-uvalde-texas-school-shooting-robb-elementary-victims/9950438002/ 
Gunman's final 90 minutes fuel questions about police delays, 3 months ago, UVALDE Texas (AP) — It was 11:28 a, https://apnews.com/article/uvalde-school-shooting-politics-texas-shootings-56a4d01fb1cda19947db89fcb6bd85fd 
A dad's anguish outside Texas school while shooting unfolded, 3 months ago, UVALDE Texas (AP) — Javier Cazares raced to his daughter's school when he heard there was a shooting leaving his truck running with the, https://apnews.com/article/uvalde-school-shooting-politics-texas-shootings-e3975aebf393ca7c122cc117d29059c4 
Who is the Texas school shooter? What we know, 3 months ago, Salvador Ramos the alleged gunman accused of shooting his grandmother and then targeting dozens of victims – ultimately killing 19 children, https://www.foxnews.com/us/texas-school-shooter-what-we-know 
After Uvalde school shooting Texas police wonder how much ..., 2 months ago, After Uvalde school shooting Texas police wonder how much training is , https://www.texastribune.org/2022/06/13/uvalde-school-shooting-texas-police-training/ 
Uvalde: US to review police response to Texas school shooting, 3 months ago, In Uvalde President Joe Biden met the victims' families on Sunday, https://www.bbc.com/news/world-us-canada-61622797 
Uvalde officer asked permission to shoot gunman outside school but ..., 2 months ago, The report is likely to inform any policy responses to the tragedy the deadliest school shooting in Texas history, https://www.texastribune.org/2022/07/06/uvalde-school-shooting-robb-elementary-report/ 
Gunman at a Texas elementary school kills 19 students and two adults before being fatally shot officials say, 3 months ago, The shooter -- identified by Texas officials as Salvador Ramos of Uvalde -- also , https://www.cnn.com/2022/05/24/us/uvalde-texas-elementary-school-shooting/index.html 
Biden says Second Amendment 'not absolute' as more details of ..., 3 months ago, They were teary-eyed and shaken at the news there had been a mass shooting another one this time at an elementary school in Texas, https://www.washingtonpost.com/nation/2022/05/25/texas-school-shooting-uvalde-victims-live-updates/ 
Texas School Shooting: Related to The Victims Tied To The Shooter Sisters Mourn In Uvalde, 3 months ago, Two days after a gunman killed 19 children and two teachers inside a fourth grade classroom at Robb Elementary School in Uvalde Texas sisters, https://www.today.com/parents/parents/texas-school-shooting-uvalde-victims-shooter-rcna30760 
‘America is killing itself’: world reacts with horror and incomprehension to Texas shooting, 3 months ago, , https://www.theguardian.com/us-news/2022/may/25/international-reaction-texas-school-shooting 
‘It all happened too fast’: injured Uvalde teacher recounts school shooting, 3 months ago, But we set them up to be like ducks, https://www.theguardian.com/us-news/2022/jun/07/uvalde-teacher-school-shooting-arnulfo-reyes 
Texas school shooting: What we know about the victims, 3 months ago, Texas school shooting: What we know about the victims · Eva Mireles 44 · Uziyah Garcia 8 · Xavier Lopez 10 · Cousins Jayce Carmelo Luevanos and, https://nypost.com/2022/05/25/texas-school-shooting-what-we-know-about-the-victims/ 
Last Texas school shooting victim laid to rest, 2 months ago, Uziyah who went by Uzi was the last of the 21 people killed in the Uvalde school massacre — 19 children and two teachers — to be laid to, https://www.cbsnews.com/news/last-texas-school-shooting-victim-laid-to-rest/ 
How to help Uvalde Texas school shooting victims, 3 months ago, Here's how to help those affected by the Uvalde school shooting · Blood donations · Legal support · Mental health support · Financial support, https://www.washingtonpost.com/nation/2022/05/25/help-uvalde-texas-shooting-victims/ 
Texas school shooting: Suspected gunman made threats called 'Yubo school shooter' on platform users said, 3 months ago, Crosses with the names of Tuesday's shooting victims are placed outside Robb Elementary School in Uvalde Texas Thursday May 26 2022, https://www.foxnews.com/us/texas-school-shooting-gunman-threats-yubo-school-shooter-social-media 
Mass shooting at Texas elementary school: Utah officials react with grief, 3 months ago, , https://www.deseret.com/utah/2022/5/24/23140676/mass-shooting-texas-elementary-school-utah-officials-react-grief-gun-laws 
Sister of Uvalde shooting victim testifies before Texas lawmakers: “I ..., 2 months ago, Jackie Cazares one of the victims of the mass shooting at Robb Elementary School in, https://www.texastribune.org/2022/06/23/jazmin-cazares-shooting-victims-testify-texas-house/ 
These are the 21 victims of the Texas school shooting, 3 months ago, According to initial reports at least two sets of cousins were killed by the gunman: Jackie Cazares and Annabell Rodriguez both 10 and Jayce, https://www.latimes.com/world-nation/story/2022-05-26/texas-school-shooting-victims-21-lives-cut-short 
Principal of Uvalde elementary school suspended in wake of deadly shooting, 1 month ago, The principal of the elementary school in Uvalde Texas , https://www.theguardian.com/us-news/2022/jul/26/uvalde-shooting-texas-robb-elementary-principal-suspended 
Uvalde Texas gunman was increasingly troubled and violent ..., 3 months ago, He then went on a shooting rampage at Robb Elementary School near his home , https://www.washingtonpost.com/nation/2022/05/25/uvalde-texas-school-shooting-gunman/ 
‘It Was the Wrong Decision’ Police Say of Delay in Confronting Gunman, 3 months ago, Follow today's latest news on the Uvalde Texas elementary school shooting, https://www.nytimes.com/live/2022/05/27/us/texas-school-shooting 
Uvalde shooting: elementary school principal reinstated after suspension, 1 month ago, The principal of the Texas elementary school where an intruder shot 19 students and two teachers to death in May is back at her job after a, https://www.theguardian.com/us-news/2022/jul/29/uvalde-shooting-elementary-school-principal-reinstated 
Uvalde shooting records: Texas newsrooms sue for access, 1 month ago, For the latest updates on the aftermath of the shooting at an elementary , https://www.texastribune.org/2022/08/01/uvalde-dps-texas-records-lawsuit-media-organizations/ 
Uvalde elementary school shooting, 3 months ago, Mementos decorate a makeshift memorial to shooting victims outside of Robb Elementary School in Uvalde Texas, https://www.npr.org/series/1101183663/uvalde-elementary-school-shooting 
Texas House publishes report of Uvalde school shooting ..., 1 month ago, The House committee investigating the Uvalde school shooting said it , https://www.texastribune.org/2022/07/23/uvalde-house-report-spanish/ 
Frantic parents wait for news of their children after Texas school shooting, 3 months ago, One mother Maria Garcia was near the school questioning a law enforcement officer hours after the shooting because she was still looking, https://www.nbcnews.com/news/us-news/frantic-parents-wait-news-children-texas-school-shooting-rcna30415 
Morning 4: A look at the timeline of the Texas school shooting -- and other news, 3 months ago, So let's get to the news, https://www.clickondetroit.com/news/local/2022/05/25/morning-4-at-look-at-the-timeline-of-the-texas-school-shooting-and-other-news/ 
Texas school shooting: Washington superintendent weighs in on safety measures taken in the state, 3 months ago, That is the source of all of these deadly and tragic school shootings" Reykdal said, https://www.q13fox.com/news/texas-school-shooting-state-superintendent-weighs-in-on-safety-measures-taken-in-washington 
Fact-check: Who was the officer who killed the Uvalde school shooter?, 3 months ago, In a May 27 news conference Texas Department of Public Safety director Steven McCraw described how Uvalde police officers Border Patrol agents, https://www.statesman.com/story/news/politics/politifact/2022/06/03/fact-check-officer-who-killed-uvalde-school-shooter-duty/7486301001/ 
'She was going to be someone.' Families and friends remember the victims of the Uvalde school massacre as the first funerals are held, 3 months ago, The gunman's 66-year-old grandmother who was shot in the face before the attack on the school is in good condition; a 9-year-old girl is in, https://www.cnn.com/2022/05/31/us/uvalde-texas-elementary-school-shooting-tuesday/index.html 
States With the Most School Shootings, 3 months ago, Texas has seen the most school shootings since 2012 followed by California , https://www.usnews.com/news/best-states/articles/2022-05-27/states-with-the-most-school-shootings 
Massachusetts leaders respond to Texas school shooting, 3 months ago, I am horrified by news of another mass shooting and my heart breaks for the families of the young children and teacher killed in Uvalde, https://www.wgbh.org/news/local-news/2022/05/25/massachusetts-leaders-respond-to-texas-school-shooting 
Discussing life-altering situations like the Texas school shooting with your children, 3 months ago, Discussing life-altering situations like the Texas school shooting with your children · ValleyCentral Daily News, https://www.valleycentral.com/news/discussing-life-altering-situations-like-the-texas-school-shooting-with-your-children/ 
Texas school shooter bought 2 rifles days after turning 18 'no known mental health history' Abbott says, 3 months ago, Lt, https://www.fox13news.com/news/texas-school-shooting-victims-all-in-same-4th-grade-classroom-official 
What We Know About the Texas Elementary School Shooting Victims, 2 months ago, , https://www.nytimes.com/article/uvalde-shooting-victims.html 
US Justice Department to review response to Texas school shooting, 3 months ago, The Bidens were also scheduled to meet with victims' families survivors and first responders, https://www.aljazeera.com/news/2022/5/29/us-justice-department-to-review-response-to-texas-school-shooting 
Second grader describes surviving Texas school shooting: "We were scared and the teacher started telling us we can pray", 3 months ago, Second grader describes surviving Texas school shooting: "We were scared and the teacher started telling us we can pray", https://www.cbsnews.com/news/texas-school-shooting-survivor-timothy-silva/ 
Official: Girl told 911 'send the police now' as cops waited, 3 months ago, UVALDE Texas (AP) — Students trapped inside a classroom with a gunman repeatedly called , https://apnews.com/article/uvalde-school-shooting-430b975bbaacce445451e4026cedc171 
Texas school shooting: Burlington County community gathers to honor victims, 3 months ago, , https://www.fox29.com/news/texas-school-shooting-burlington-county-community-gathers-to-honor-victims 
Five injured remain in Texas hospitals after Uvalde shooting, 3 months ago, Five injured victims remain hospitalized one week after Uvalde school shooting, https://www.texastribune.org/2022/06/01/uvalde-shooting-injured-update/ 
Latest news on the Uvalde Texas Robb Elementary School shooting, 3 months ago, 2022 Cable News Network, https://www.cnn.com/specials/us/texas-robb-elementary-shooting 
Social media ‘friend’ describes Uvalde school shooter, 3 months ago, , https://www.kxan.com/news/texas/uvalde-school-shooting/social-media-friend-describes-uvalde-school-shooter/ 
Texas school shooting: Did children die while police waited outside?, 3 months ago, Children run from Robb Elementary School in Uvalde Texas during the shooting Tuesday, https://www.latimes.com/world-nation/story/2022-05-27/police-delays-may-have-deprived-texas-schoolchildren-of-lifesaving-care-experts-say 
Texas agencies resist releasing public records that could help clarify ..., 2 months ago, The Texas Tribune and ProPublica have submitted about 70 requests to , https://www.texastribune.org/2022/06/15/texas-public-records-uvalde-shooting/ 
Texas school shooting survivors say they fear returning to school, 3 months ago, (CNN) Like many children across America Jayden Perez had practiced what to do in a mass shooting at his school, https://www.cnn.com/2022/05/27/us/uvalde-texas-shooting-survivors-fear-school/index.html 
Parents React To Elementary School Shooting In Uvalde Texas, 3 months ago, "You just gotta say goodbye and hope you'll get the chance to say hello again" Chris O'Connell a local news reporter based in Austin told, https://www.buzzfeednews.com/article/kelseyweekman/uvalde-texas-shooting-parent-reactions-social-media 
Families begin to bury the 21 people killed in the Texas school ..., 3 months ago, JASMINE ROSARIO: I wanted to support about those 21 victims that died because they didn't really deserve this - like none of the kids or any of, https://www.npr.org/2022/05/31/1102097043/families-begin-to-bury-the-21-people-killed-in-the-texas-school-shooting 
Texas school shooter allegedly threatened classmates cut scars into his face, 3 months ago, The suspect's classmates told ABC News he was known for fighting classmates, https://abcnews.go.com/US/texas-school-shooter-allegedly-threatened-classmates-cut-scars/story%3Fid%3D84962903 
PHOTOS: Families victims of Texas school shooting, 3 months ago, People react outside the Civic Center following a deadly school shooting at Robb Elementary School in Uvalde Texas Tuesday May 24 2022, https://www.foxnews.com/us/photos-families-victims-of-texas-school-shooting 
Texas school shooting: Don't wait in silence until next massacre, 3 months ago, All 21 victims in Texas school shooting were killed inside one classroom , https://www.latimes.com/california/story/2022-05-24/uvalde-texas-school-shooting-steve-lopez-dont-wait-in-silence-until-the-next-massacre 
DOJ Will Review Police Response to Uvalde School Shooting, 3 months ago, The victims killed in the attack include 19 students between the ages of nine and eleven as well as two teachers both women in their 40s, https://nymag.com/intelligencer/2022/05/mass-shooting-at-uvalde-texas-elementary-school.html 
Texas school shooting: 21 victims named and pictured, 3 months ago, Alithia Ramirez · Cousins Jackie Cazares and Annabell Rodriguez both 10 · Eva Mireles · Uziyah Garcia 8 · Xavier Lopez 10 · Read more: What do we, https://news.sky.com/story/texas-school-shooting-victims-beautiful-teacher-and-three-students-named-as-21-killed-12620895 
Survivors of Uvalde shooting paint horrifying picture of terror and tragedy, 3 months ago, Survivors of the mass school shooting in Uvalde Texas , https://www.theguardian.com/us-news/2022/may/28/texas-shooting-uvalde-survivors-stories 
Mourning and anger after Texas school shooting, 3 months ago, Uvalde the Texas town that was the site of the latest US school massacre held an emotional vigil to honor the victims most of whom were young, https://www.dw.com/en/mourning-and-anger-after-texas-school-shooting/av-61943628 
Biden says pain ‘palpable’ in Uvalde as memorial services for shooting victims to begin, 3 months ago, Amerie Jo Garza's cross stands at a memorial site for the victims killed in last week's shooting at Robb elementary school in Uvalde Texas, https://www.theguardian.com/us-news/2022/may/30/texas-school-shooting-memorial-service-victims 
